,监测点编码,监测点名称,城市,经度,纬度
535,1395A,惠阳区承修路船湖子站,惠州,114.3244,22.8172
536,1647A,牟平环保局,烟台,121.5953,37.3872
537,1973A,蓬莱环保局,蓬莱,120.747,37.825
538,1267A,监测站大楼,丽水,119.914,28.4514
539,1519A,市四中,株洲,113.167,27.8667
540,1845A,市委党校,荆州,112.2068,30.3515
541,3582A,清苑区第二中学,保定,115.47694,38.76408
542,3128A,那曲会议中心,那曲地区,92.0506,31.4797
543,3454A,中山南区,中山,113.3528,22.478
544,3706A,老干部活动中心,通辽,122.2584,43.6333
545,1200A,武进监测站,常州,119.935,31.7039
546,2274A,淮上区政府,蚌埠,117.3536,32.9673
547,2526A,监测站,广元,105.8624,32.4285
548,3326A,辛老路,天津,117.0296,39.0605
549,2472A,马头岭,郴州,113.0073,25.9061
550,1292A,林科所,南昌,115.813,28.7442
551,1870A,柳东小学,柳州,109.4883,24.3898
552,2018A,抱龙山庄,瓦房店,121.989,39.625
553,2344A,兽医站,景德镇,117.1983,29.2786
554,1164A,吴中区,苏州,120.613,31.2703
555,1416A,天生,重庆,106.424,29.8264
556,1490A,监测站,乌鲁木齐,87.5801,43.8303
557,1742A,平坦,阳泉,113.5689,37.8694
558,1036A,供销社,唐山,118.1662,39.6308
559,3025A,技师学院,清远,113.0472,23.63444
560,1614A,清源山,泉州,118.6108,24.9617
561,3351A,棠香,重庆,105.7167,29.7076
562,2688A,地区监测站,哈密地区,93.5128,42.8172
563,2621A,迪庆州站,迪庆州,99.7056,27.8317
564,1958A,经济开发区,库尔勒,86.2381,41.7128
565,3695A,怀柔新城,北京,116.6151,40.3053
566,2241A,自来水公司　,鸡西,130.9817,45.305
567,3567A,区一中,大同,113.5931,40.0461
568,1061A,北泵房,张家口,114.904,40.8725
569,1313A,崂山区子站,青岛,120.4587,36.0851
570,3187A,远航博物馆,宿州,116.9510,33.6660
571,3439A,新师大温泉校区,乌鲁木齐,87.7024,43.8004
572,2259A,四丰,佳木斯,130.3794,46.7588
573,1511A,市监测站,湘潭,112.9118,27.8403
574,2585A,铜仁卫校,铜仁地区,109.1916,27.7297
575,1983A,乳山市环保局,乳山,121.531,36.913
576,3059A,泰兴公司,莱芜,117.7181,36.2092
577,2457A,衡阳化工总厂,衡阳,112.6194,26.9258
578,2709A,艾青诗歌馆,石河子,86.0497,44.2967
579,1277A,包河区,合肥,117.302,31.7956
580,1855A,鼎城区环保局,常德,111.6753,29.0239
581,1149A,浦东新区监测站,上海,121.533,31.2284
582,1475A,职工医院,兰州,103.712,36.0756
583,1727A,清华站,长治,113.1097,36.1542
584,3464A,高教基地,合肥,117.3803,31.9147
585,2010A,市政府,临安,119.7183,30.2366
586,3336A,焦作技师学院,焦作,113.2465,35.2373
587,3662A,富区青少年活动中心,齐齐哈尔,123.6333,47.2075
588,2999A,矿山设计院,连云港,119.1478,34.5911
589,2482A,林科所,怀化,109.9333,27.5733
590,3208A,市政府,忻州,112.7283,38.4153
591,3534A,西湾,贺州,111.4744,24.4553
592,2354A,第二水厂,新余,114.9289,27.8328
593,2606A,市经济开发区,楚雄州,101.538,25.0492
594,2680A,沙坡头消防站,中卫,105.0197,37.4514
595,1174A,洪门派出所,连云港,119.141,34.5896
596,1752A,铁西工业园区,鞍山,122.9481,41.0833
597,2226A,境园,四平,124.3897,43.1847
598,2552A,市政中心,达州,107.4611,31.2058
599,1046A,建设大厦,秦皇岛,119.5369,39.9419
600,1372A,华材职中,佛山,113.105,23.0395
601,1624A,监理站,德州,116.3189,37.4489
602,2698A,巡警大队,喀什地区,75.9828,39.5371
603,1950A,红果子镇惠新街,石嘴山,106.7096,39.1292
604,1244A,龙湾,温州,120.76,27.9747
605,1822A,铁佛寺,安阳,114.286,36.11
606,1968A,胶州一中,胶州,120.014,36.253
607,1116A,金州,大连,121.7481,39.1311
608,3431A,高铁新城,苏州,120.6505,31.416
609,2251A,苗圃,双鸭山,131.1572,46.5888
610,1588A,青山宾馆,包头,109.8538,40.6821
611,3051A,西四道,天津,117.3916,39.1495
612,3303A,南沙黄阁,广州,113.4922,22.8168
613,3449A,新会银湖,江门,113.05,22.4667
614,2701A,地区站,和田地区,79.9485,37.1152
615,2321A,涵江区六中,莆田,119.1117,25.4556
616,3647A,菏泽医专,菏泽,115.4702,35.2706
617,1141A,普陀,上海,121.4,31.238
618,2467A,甘溪港,益阳,112.4067,28.6428
619,1013A,市监测中心,天津,117.151,39.097
620,3002A,行政中心,常州,119.9736,31.8108
621,2339A,金涵水库,宁德,119.5001,26.6946
622,2665A,汉王镇固水子,陇南,105.0822,33.3261
623,1485A,银湖巷,银川,106.2682,38.4744
624,1737A,南机场,临汾,111.4917,36.0417
625,3200A,监控中心,聊城,115.9819,36.4978
626,2537A,市第三水厂,乐山,103.7506,29.6007
627,1357A,洪湖,深圳,114.117,22.5625
628,1609A,新区,葫芦岛,120.8478,40.715
629,1683A,霞山游泳场,湛江,110.4111,21.2028
630,1935A,陈仓环保局,宝鸡,107.3906,34.3528
631,3672A,丰台云岗,北京,116.1541,39.8204
632,1229A,朝晖五区,杭州,120.157,30.2897
633,1807A,水科所,九江,116.0628,29.6926
634,3544A,奉贤南桥新城,上海,121.4891,30.925
635,2690A,天山天池,昌吉州,87.9897,44.1564
636,3164A,广陵建设局,扬州,119.4686,32.3942
637,3416A,潍坊学院,潍坊,119.1755,36.7149
638,2236A,市环保局,白城,122.8211,45.6175
639,2562A,资阳中学,资阳,104.6356,30.1506
640,1899A,檀木林街,自贡,104.7747,29.3564
641,1382A,长江旅游区,中山,113.4411,22.4853
642,1960A,世纪学校,寿光,118.78,36.864
643,3036A,开发区管委会,东营,118.696,37.43445
644,2182A,会展中心,忻州,112.7003,38.4928
645,2434A,高新管委会,襄阳,112.1825,32.1142
646,1254A,监测站,嘉兴,,
647,1832A,新华旅馆,平顶山,113.322,33.721
648,2306A,火车站,宿州,116.989,33.63063889
649,1126A,经开区环卫处,长春,125.417,43.8667
650,1452A,龙泉镇,昆明,102.728,25.0836
651,1704A,高新区,清远,113.0622,23.6272
652,3441A,经开区管委会,五家渠,87.546,44.1912
653,1598A,镜湖西路,营口,122.215,40.6511
654,1324A,岗李水库,郑州,113.6113,34.9162
655,3061A,国华电力东,呼伦贝尔,119.7512,49.1577
656,3313A,高要湖西,肇庆,112.4575,23.0166
657,2398A,开发区,许昌,113.7906,33.9953
658,1796A,四水厂,芜湖,118.3708,31.3178
659,3511A,陵城艺术中心,德州,116.5652,37.3319
660,2005A,金坛市自来水公司,金坛,119.579,31.737
661,2331A,茫荡山,南平,118.0966,26.6761
662,1668A,广南水库,东营,118.8192,37.3781
663,2203A,市政府,锡林郭勒盟,116.0781,43.9311
664,3529A,城华南路,泉州,118.6333,24.9264
665,1023A,第四大街,天津,117.707,39.0343
666,1601A,临江后街,丹东,124.4256,40.1503
667,2675A,玉树县结古镇,玉树州,97.0,33.0014
668,3149A,笔架山北路,黄石,115.0158,30.1594
669,3475A,市政府,新乡,113.9188,35.3045
670,1221A,宿迁中学,宿迁,118.2442,33.9592
671,2295A,延安路89号,黄山,118.3057,29.7128
672,2547A,广电花园,广安,106.6388,30.4551
673,2873A,仁皇山新区,湖州,120.0875,30.89556
674,1693A,市环保局,汕尾,115.3653,22.775
675,1945A,气象局,嘉峪关,98.2908,39.7711
676,2167A,朔唯,朔州,112.4549,39.3606
677,1239A,钱湖水厂,宁波,121.633,29.7736
678,1817A,市委新办公区,洛阳,112.4275,34.6258
679,1891A,仁和,攀枝花,101.7453,26.5017
680,1185A,市监测站,扬州,119.404,32.41
681,1437A,君平街,成都,104.054,30.6578
682,1763A,彩屯,本溪,123.7308,41.3047
683,1309A,市北区子站,青岛,120.3471,36.0699
684,3046A,机电学校,南昌,115.9083,28.6064
685,3372A,太阳城中学,德州,116.3572,37.4094
686,3624A,潮南子站,汕头,116.4069,23.2533
687,2192A,区环保局,呼伦贝尔,119.7594,49.2261
688,2444A,东城区,孝感,113.942,30.9075
689,2064A,南湾水厂,信阳,114.0122,32.1403
690,2316A,鳌峰子站,宣城,118.7581,30.9447
691,2390A,开发区,新乡,113.884,35.272
692,2642A,香溪洞,安康,109.0311,32.6778
693,1979A,荣成市环保局办公楼,荣成,122.471,37.154
694,1462A,高压开关厂,西安,108.882,34.2749
695,1714A,牧羊,云浮,112.0539,22.9539
696,2514A,环保小区,贺州,111.5269,24.4175
697,1008A,顺义新城,北京,116.72,40.1438
698,3588A,雄县环境保护局,雄安新区,116.0901,38.9816
699,1082A,涧河,太原,112.573,37.9103
700,1334A,沉湖七壕,武汉,113.8531,30.2997
701,1660A,市政府广场,日照,119.5198,35.4234
702,1912A,凤凰山,遵义,106.9242,27.7019
703,1206A,公园路,泰州,119.9,32.4867
704,3521A,石大公路,石嘴山,106.7492,39.2069
705,2858A,河西一经路,天津,117.7918,39.2474
706,1678A,潮阳子站,汕头,116.6092,23.2539
707,3141A,信访局,安阳,114.3922,36.0878
708,2213A,新华园,辽阳,123.15,41.2553
709,1298A,省站,南昌,115.931,28.6844
710,1876A,河东子站,三亚,109.5078,18.2489
711,2411A,第三人民医院　,商丘,115.6578,34.402
712,1748A,深沟寺,鞍山,123.044,41.1196
713,3485A,高寺路,重庆,107.0944,29.1608
714,1231A,临平镇,杭州,120.301,30.4183
715,2883A,文体中心,玉溪,102.5381,24.339
716,2031A,云田中学,株洲,113.1817,27.9958
717,3357A,金博路,成都,104.0106,30.6931
718,1103A,陵东街,沈阳,123.428,41.8472
719,3683A,昆区政府,包头,109.8331,40.6576
720,2177A,运城学院,运城,,
721,2429A,滨河新村,十堰,110.78,32.6494
722,1301A,开发区,济南,117.114,36.6739
723,2375A,市广电局,宜春,114.4011,27.8072
724,2627A,日喀则鸿达公司,日喀则地区,88.8931,29.2365
725,1195A,堰桥,无锡,120.288,31.6842
726,1447A,太慈桥,贵阳,106.6867,26.5495
727,1773A,东局子,吉林,126.5844,43.8358
728,2247A,五号水库,鹤岗,130.1097,47.3382
729,1067A,药材公司,廊坊,116.6838,39.5178
730,1319A,供水公司,郑州,113.564,34.802
731,1393A,下埔横江三路子站,惠州,114.4053,23.08
732,1645A,莱山环保局,烟台,121.4478,37.4822
733,1971A,1号,平度,119.952,36.792
734,3580A,峰峰矿区临水派出所,邯郸,114.20016,36.44293
735,2652A,监测站,武威,102.6219,37.9311
736,1989A,震川中学,昆山,120.999,31.381
737,3452A,大亚湾霞涌,惠州,114.6517,22.775
738,2272A,二水厂,蚌埠,117.3086,32.935
739,2524A,老城,广元,105.8242,32.4429
740,3598A,富达温泉假日酒店,三门峡,111.1,34.7167
741,1092A,兴松小区,呼和浩特,111.659,40.8452
742,1670A,碧湖山庄,韶关,113.5593889,24.81119444
743,2470A,资阳区政务中心,益阳,112.3347,28.6047
744,1216A,市监测站,盐城,120.156,33.3942
745,1290A,省外办,南昌,115.893,28.6844
746,2868A,九站,吉林,126.4738889,43.95305556
747,2016A,图书馆,诸暨,120.251,29.719
748,3668A,城南,临汾,111.5036,36.0414
749,1162A,彩香,苏州,120.591,31.3019
750,1414A,缙云山,重庆,106.379,29.8272
751,3151A,宜春学院北校区,宜春,114.375,27.8097
752,2488A,市监测站,娄底,111.9975,27.725
753,1740A,南庄,阳泉,113.5922,37.8561
754,1886A,黄金嘴,宜宾,104.5761,28.71583
755,3601A,龙门街,重庆,106.0499,29.8342
756,2686A,市环保局,吐鲁番地区,89.191,42.9409
757,2421A,市彩印厂　,驻马店,114.0131,33.0069
758,1758A,新抚区,抚顺,123.9,41.8594
759,1378A,三水云东海,佛山,112.863,23.1886
760,1956A,孔雀公园,库尔勒,86.1461,41.7511
761,3693A,路南电大,唐山,118.1436,39.6202
762,3239A,银鹰制药,辽源,125.0829,42.9079
763,3565A,云冈站,大同,113.1367,40.1122
764,1311A,四方区子站,青岛,120.3664,36.1032
765,2385A,市监测站,鹤壁,114.17,35.9019
766,2637A,南郑大河坎水厂,汉中,107.007,33.0323
767,3437A,达坂城区环保局,乌鲁木齐,88.3118,43.3658
768,2257A,环保局,佳木斯,130.3258,46.7975
769,2509A,寒山水库,玉林,110.1106,22.7019
770,2583A,铁路子校,安顺,105.9394,26.2358
771,1077A,达活泉,邢台,114.4821,37.0967
772,2835A,四十中小,攀枝花,101.7227,26.567
773,1655A,电化厂,济宁,116.5546,35.4039
774,1981A,文登市环保局,文登,122.038,37.197
775,2455A,州电力总公司,恩施州,109.4689,30.2819
776,2707A,小东沟,阿勒泰地区,88.1214,47.9047
777,1275A,庐阳区,合肥,117.266,31.9438
778,1853A,市监测站,常德,111.7044,29.0244
779,3590A,北区建设指挥部,郑州,113.8374,34.5589
780,1147A,静安监测站,上海,121.425,31.2261
781,3136A,龙泉驿区区政府,成都,104.2725,30.5589
782,1725A,安家小村,大同,113.2661,40.1269
783,3462A,滨水东路,天津,117.8199,39.3521
784,2860A,宾水西道,天津,117.1589,39.0845
785,1019A,北辰科技园区,天津,117.1837,39.2133
786,3008A,胡沟管理处,连云港,119.3608,34.7519
787,3334A,第十二中学,池州,117.5038,30.6243
788,2480A,永州市环保局,永州,111.5992,26.4364
789,3206A,新钢沁园村,新余,114.9149,27.8070
790,2352A,北岗,新余,115.0586,27.7758
791,2604A,市气象局,临沧,100.0782,23.8982
792,3678A,市第七中学,济宁,116.5909,35.4053
793,1172A,紫琅学院,南通,120.81,32.0417
794,1424A,杨家坪,重庆,106.512,29.5164
795,1750A,太平,鞍山,123.0485,41.1442
796,2224A,监测站,四平,124.3419,43.1747
797,3298A,从化街口,广州,113.5717,23.5491
798,1044A,监测站,秦皇岛,119.6023,39.9567
799,1370A,斗门,珠海,113.299,22.2281
800,1622A,儿童乐园,德州,116.3061,37.4664
801,2696A,艺术中心,阿克苏地区,80.2956,41.1933
802,1242A,瓯海,温州,120.634,28.0089
803,2568A,马师校,阿坝州,102.2402,31.8934
804,2894A,经济技术开发区消防队,淮南,117.0566,32.6531
805,1388A,南城元岭,东莞,113.7461111,23.02777778
806,1966A,2号子站,胶南,120.039,35.872
807,2501A,大海花园,防城港,108.3506,21.6414
808,1586A,包百大楼,包头,109.8104,40.6575
809,1838A,风景区,三门峡,111.1489,34.7997
810,3575A,正泰大街热力站,唐山,118.09279,39.58089
811,1458A,区监测站,拉萨,91.0874,29.6475
812,3195A,市体育局,扬州,119.3633,32.3972
813,3447A,坪山,深圳,114.3551,22.7151
814,2593A,小围寨,黔南州,107.5228,26.2403
815,2845A,德盛苑,长治,113.1569,36.1912
816,3319A,万江金泰,东莞,113.7338,23.0381
817,3645A,东风化工厂,淄博,118.0253,36.8406
818,2465A,市罐头厂,邵阳,111.4503,27.2537
819,1285A,紫阳,福州,119.315,26.0753
820,1863A,监测站,桂林,110.2819,25.2697
821,1011A,奥体中心,北京,116.407,40.0031
822,3000A,德源药业(直管站),连云港,119.3581,34.6972
823,2337A,闽西职业技术学院,龙岩,117.0256,25.0661
824,2663A,监测站（原粮食局）,定西,104.6228,35.5714
825,1157A,浦口,南京,118.626,32.0878
826,2915A,职业中学,巴中,106.7619444,31.85805556
827,1409A,东寨港,海口,110.576,19.9507
828,1483A,第五水厂,西宁,101.524,36.6867
829,1735A,工商学校,临汾,111.5169,36.0822
830,2209A,农业园区,阜新,121.6972,42.0503
831,1029A,职工医院,石家庄,114.4548,38.0513
832,1355A,帽峰山森林公园,广州,113.589,23.5538
833,1607A,龙港区,葫芦岛,120.9092,40.7136
834,3344A,双子河社区,伊春,128.8431,47.8474
835,1933A,监测站,宝鸡,107.1431,34.3547
836,3670A,禹都公园,运城,111.0522,35.0439
837,1227A,卧龙桥,杭州,120.127,30.2456
838,3216A,漳州党校,漳州,114.6622,24.5183
839,3290A,木渎中学,苏州,120.5031,31.2774
840,3542A,东坡学校子站,儋州,109.5567,19.5187
841,2362A,通天岩,赣州,114.9064,25.9118
842,1699A,鸳鸯湖,阳江,111.9786,21.8586
843,3414A,桑海产业园,赣江新区,115.8347,28.932
844,2234A,江北,松原,124.8528,45.1642
845,2560A,市六中,巴中,106.7608,31.8456
846,1380A,张溪,中山,113.3881,22.5497
847,1632A,东风化工厂,淄博,118.0448,36.838
848,2432A,襄城运动路,襄阳,112.155,32.0197
849,1252A,清河小学,嘉兴,120.744,30.7946
850,2578A,水钢,六盘水,104.89,26.5939
851,1830A,影视城,焦作,113.1992,35.259
852,3378A,老边实验中学,营口,122.371,40.6771
853,1124A,净月潭,长春,125.454,43.7878
854,2198A,集宁旧区西,乌兰察布,113.0974,41.038
855,1450A,呈贡新区,昆明,102.821,24.8885
856,1702A,环保大楼,清远,113.0425,23.6936
857,1596A,学府南路,营口,122.2414,40.6592
858,1848A,城陵矶,岳阳,113.1493,29.4251
859,3311A,江海富民,江门,113.1075,22.5647
860,2648A,动力公司,白银,104.1731,36.5481
861,1468A,经开区,西安,108.935,34.3474
862,1794A,监测站,芜湖,118.3528,31.3508
863,2003A,宜园,宜兴,119.794,31.371
864,1088A,南寨,太原,112.549,37.9854
865,1666A,市环保局,东营,118.6672,37.4314
866,1918A,气象站,咸阳,108.7197,34.3956
867,3655A,长江产业园,咸宁,114.3375,29.8683
868,1401A,振宁花园,南宁,108.301,22.7875
869,2201A,科右前旗环保局,兴安盟,121.9462,46.0756
870,3527A,集美中学,厦门,118.0958,24.5688
871,1021A,跃进路,天津,117.307,39.0877
872,2347A,武功山气象站,萍乡,114.0944,27.4948
873,2673A,共和县恰卜恰镇,海南州,100.6188,36.2866
874,2925A,上海东路,银川,106.2739,38.4841
875,3147A,龙亭公园,开封,114.3442,34.8097
876,2219A,金沙江路北,铁岭,123.7153,42.2217
877,2293A,联富花园,安庆,117.0486,30.5489
878,2545A,友谊中学,广安,106.6271,30.4663
879,2871A,万里国际学校,宁波,121.6147222,29.90166667
880,1365A,梅沙,深圳,114.297,22.5978
881,1617A,日升国际,莱芜,117.715,36.2081
882,1691A,梅县新城,梅州,116.0797,24.2719
883,1943A,新川苑,金昌,102.1725,38.5339
884,1237A,三江中学,宁波,121.554,29.8906
885,1815A,河南林校,洛阳,112.4831,34.6869
886,3552A,云天化总部,昆明,102.6678,24.9856
887,1109A,甘井子,大连,121.61194444,38.973888889
888,1435A,梁家巷,成都,104.074,30.685
889,3424A,高淳老职中(145),南京,,
890,2570A,水桥子,甘孜州,101.9603,30.0475
891,3370A,十里堡居委,临沂,118.3564,35.0215
892,3622A,碧湖山庄,韶关,113.5556,24.8082
893,2190A,胶建铝业,通辽,122.3039,43.6156
894,2442A,市政府,荆门,112.1931,31.0375
895,1779A,安居小区,齐齐哈尔,123.9305,47.3636
896,1840A,白龙岗,宜昌,111.2992,30.698
897,2314A,池州学院,池州,117.4697,30.6617
898,2640A,实验中学,榆林,109.7289,38.2839
899,1134A,道外承德广场,哈尔滨,126.635,45.7667
900,1460A,区辐射站,拉萨,90.9798,29.6588
901,1712A,新市府,云浮,112.0392,22.9169
902,1006A,官园,北京,116.361,39.9425
903,3586A,安新县民政局,雄安新区,115.923,38.9405
904,1080A,市环保局,邢台,114.4854,37.062
905,1332A,东湖高新,武汉,114.3894,30.4822
906,2658A,仓门街子站,酒泉,98.509,39.746
907,1910A,市环境监测站,南充,106.1087,30.8388
908,1204A,职教中心,镇江,119.491,32.215
909,2278A,师范学院,淮南,117.0083,32.645
910,1098A,森林路,沈阳,123.6836,41.9339
911,1676A,濠江子站,汕头,116.7258,23.2775
912,1928A,市监测站,延安,109.4824,36.5767
913,2211A,玉龙新城,阜新,121.6592,42.0486
914,1296A,武术学校,南昌,115.742,28.7994
915,3285A,北京八中,乌兰察布,113.1376,40.9509
916,1874A,市九中,柳州,109.3957,24.3663
917,3409A,柯桥区政府,绍兴,120.4906,30.0861
918,3483A,西山,重庆,108.7661,29.5368
919,2555A,市政府,雅安,103.0109,29.9834
920,2881A,凯里学院,黔东南州,107.8908333,26.53111111
921,3355A,周家坝,重庆,108.3679,30.8426
922,3607A,同德佳苑,西咸新区,108.7096,34.2956
923,1101A,沧海路,沈阳,123.284,41.7694
924,2175A,运城中学,运城,110.9956,35.0147
925,2427A,经济开发区,黄石,115.0264,30.2099
926,2373A,市石油公司,宜春,114.3953,27.7842
927,2625A,山南人民医院,山南地区,91.7706,29.261
928,1119A,食品厂,长春,125.323,43.9167
929,3699A,海东办,呼和浩特,111.6520,40.8389
930,1193A,旺庄,无锡,120.354,31.5475
931,1445A,红边门,贵阳,106.7105,26.6009
932,1771A,北湖公园,锦州,121.1303,41.1386
933,1065A,文化中心,承德,117.8184,40.9733
934,1317A,郑纺机,郑州,113.641,34.7745
935,3054A,市委党校,新乡,113.5922,35.28385
936,1643A,轴承厂,烟台,121.3719,37.5433
937,3380A,甘肃民族师范学院,甘南州,102.8914,34.9617
938,1789A,大同区,大庆,124.8354,46.0347
939,3504A,山东第一医科大学,泰安,117.0829,36.13
940,2589A,场坝街,黔西南州,104.9022,25.0925
941,2324A,三钢,三明,117.6211,26.2625
942,2650A,进步巷,天水,105.7281,34.5814
943,2902A,北辰小学,广安,106.6351,30.4865
944,1987A,吴江开发区,吴江,120.658,31.172
945,3124A,金钟山,安顺,105.9439,26.2564
946,2270A,工人疗养院,蚌埠,117.3961,32.939
947,2522A,城南新区,崇左,107.3701,22.3708
948,1859A,电业局,张家界,110.4697,29.1242
949,3596A,南山宾馆,鹤壁,114.1572,35.9603
950,1090A,呼市一监,呼和浩特,111.651,40.7579
951,1342A,天心区环保局,长沙,112.9844,28.1178
952,1920A,师范学院,咸阳,108.7233,34.3617
953,2994A,武警支队,金华,119.6533,29.1128
954,3468A,市规划展馆,阜阳,115.7901,32.8613
955,1214A,淮阴区监测站,淮安,119.0122,33.627
956,2288A,市第九中学,铜陵,117.7442,30.8811
957,2866A,外滩首府,运城,111.0522222,35.04388889
958,1412A,海南师范大学,海口,110.338,19.9969
959,3401A,红星社区,南宁,108.4834,22.7618
960,2486A,市委党校,怀化,110.0394,27.583
961,1884A,宜宾四中,宜宾,104.6061,28.7867
962,3021A,濮水河管理处,濮阳,115.0061,35.76806
963,2358A,新监测站,鹰潭,117.0564,28.2642
964,1178A,淮塔,徐州,117.192,34.2417
965,1756A,顺城区,抚顺,123.9169,41.8828
966,3039A,第一小学,三门峡,111.19,34.7822
967,1628A,市环保局,滨州,118.0062,37.3803
968,3365A,垦利区民丰路,东营,118.5719,37.565
969,3617A,经开区,广元,105.8047,32.4166
970,1111A,星海三站,大连,121.56388889,38.885
971,3237A,展览馆,池州,117.4916,30.6619
972,2383A,凤凰光学,上饶,117.9511,28.4622
973,2635A,市监测站,汉中,107.0154,33.0706
974,1781A,农牧车辆厂,齐齐哈尔,123.9483,47.3227
975,3109A,赣县区卫计委,赣州,115.0093,25.8613
976,2255A,佳纺,佳木斯,130.2719,46.8025
977,2507A,贵城子站,贵港,109.6014,23.0944
978,2581A,虹机厂子校,安顺,105.9556,26.2611
979,1075A,市监测站,衡水,115.6426,37.7379
980,1327A,汉口花桥,武汉,114.2836,30.6197
981,1653A,火炬城,济宁,116.6305,35.428
982,1905A,西山风景区,南充,106.056,30.8064
983,2705A,第二水厂,伊犁哈萨克州,81.3364,43.941
984,1273A,董铺水库,合肥,117.16,31.9051
985,2599A,丽江古城,丽江,100.2497,26.8802
986,1851A,君山区,岳阳,112.9943,29.4402
987,1997A,消防指挥中心,句容,119.146,31.955
988,1145A,杨浦四漂,上海,121.536,31.2659
989,3134A,市一中,许昌,113.8172,34.0339
990,3460A,北环路,天津,117.4067,40.0583
991,2280A,八公山区政府,淮南,116.8306,32.6319
992,2532A,东兴区政府,内江,105.0717,29.5947
993,1869A,北海工业园,北海,109.1778,21.5233
994,3006A,铜山区招生办,徐州,117.1694,34.1781
995,3332A,亳州学院,亳州,115.7633,33.8034
996,2404A,瓦房庄,南阳,112.5224,33.0122
997,1489A,学院路,银川,106.1358,38.5036
998,3478A,市图书馆,漯河,113.9749,33.5664
999,2350A,市环保局,萍乡,113.8686,27.6442
1000,2602A,普洱第二中学,普洱,100.9817,22.8322
1001,3676A,第二人民医院,大同,113.2802,40.0995
1002,1170A,城中,南通,120.87,32.02
1003,1422A,白市驿,重庆,106.364,29.4822
1004,2496A,云盖小学,梧州,111.3178,23.475
1005,3548A,学苑路,荆州,112.1655,30.3364
1006,1042A,北戴河环保局,秦皇岛,119.5259,39.8283
1007,2368A,市森林工业局,吉安,114.9739,27.11
1008,1620A,新光毛纺厂,临沂,118.2764,34.9817
1009,2694A,市环保局,博州,82.0806,44.8969
1010,1188A,雪浪,无锡,120.269,31.4867
1011,1766A,威宁,本溪,123.8142,41.3472
1012,2566A,州农科所,阿坝州,102.1755,31.9286
1013,1386A,东湖,江门,113.0819,22.5931
1014,1638A,薛城环保局,枣庄,117.2852,34.7837
1015,1964A,开发区子站,即墨,120.47,36.39
1016,1258A,定海檀枫,舟山,122.122,30.0203
1017,3247A,市总工会,陇南,104.955,33.371
1018,1836A,开发区,三门峡,111.158,34.794
1019,3573A,藁城区实验学校,石家庄,114.8506765,38.0322033
1020,3445A,从化良口,广州,113.7858,23.7478
1021,2265A,地震局　,黑河,127.4143,50.2538
1022,2591A,市环境监测站,黔东南州,107.9783,26.5747
1023,3065A,州环保局,甘孜藏族自治州,101.9533,29.9972
1024,3317A,两阳中学,阳江,111.9765,21.8947
1025,2463A,市一中,邵阳,111.4733,27.2317
1026,1283A,五四北路,福州,119.299,26.1092
1027,1861A,袁家界,张家界,110.4417,29.315
1028,2009A,蓓蕾幼儿园,海门,121.1518,31.89708
1029,2335A,龙岩师专,龙岩,117.0181,25.1174
1030,1155A,瑞金路,南京,118.803,32.0314
1031,1407A,英华嘉园,南宁,108.328,22.735
1032,1481A,省医药仓库,西宁,101.749,36.6922
1033,1733A,临钢医院,临汾,111.5531,36.0783
1034,3470A,夏渡子站,宣城,118.7724,30.9141
1035,1027A,团泊洼,天津,117.157,38.9194
1036,1353A,九龙镇镇龙,广州,113.568,23.2783
1037,1605A,兴隆台,盘锦,122.0539,41.0903
1038,3342A,中心小学,伊春,128.4741,47.4346
1039,2679A,新区二泵站,吴忠,106.196,37.9723
1040,3540A,君悦子站,三亚,109.7348,18.3443
1041,2360A,体育馆,鹰潭,117.0222,28.2264
1042,2612A,景洪市江南,西双版纳州,100.7939,22.0019
1043,1697A,东埔,河源,114.6944,23.7586
1044,1949A,惠农南大街,石嘴山,106.7704,39.2282
1045,2232A,环保局,白山,126.4078,41.9419
1046,3558A,市府大楼,杭州,119.7183,30.2367
1047,1052A,华电二区,保定,115.5223,38.8957
1048,1304A,机床二厂,济南,116.943,36.6489
1049,1630A,北中新校,滨州,117.9776,37.393
1050,3178A,潍坊七中,潍坊,119.0586,36.7225
1051,1250A,城西水厂,湖州,120.07,30.8244
1052,2576A,窑上,六盘水,104.8,26.5892
1053,1974A,蓬莱博物馆,蓬莱,120.773,37.809
1054,1122A,劳动公园,长春,125.3649,43.8748
1055,2196A,市环保大楼,巴彦淖尔,107.3715,40.7378
1056,2448A,市发改委,咸宁,114.3231,29.8211
1057,1268A,莲都小学,丽水,119.93,28.4586
1058,1594A,华泰汽车城,鄂尔多斯,109.8119,39.5989
1059,1846A,科融环保,荆州,112.2887,30.3055
1060,1466A,市人民体育场,西安,108.954,34.2713
1061,1718A,市气象局,菏泽,115.42277,35.248889
1062,3455A,清城东城,清远,113.076,23.7198
1063,2001A,第二实验小学,江阴,120.302,31.92
1064,1338A,湖南师范大学,长沙,112.9394,28.19
1065,3327A,地纬路,天津,116.9638,38.9375
1066,3653A,云深路,宜昌,111.3119,30.7273
1067,2473A,市职中,郴州,113.0116,25.8226
1068,3273A,长宁仙霞,上海,121.3902,31.2059
1069,3525A,奥体中心,咸阳,108.6396,34.4078
1070,2019A,东山公园,瓦房店,122.011,39.617
1071,2345A,台达陶瓷,景德镇,117.1558,29.2647
