,监测点编码,监测点名称,城市,经度,纬度
123,1253A,嘉兴学院,嘉兴,120.726,30.7478
124,3242A,和平,兰州,103.9611,35.998
125,2579A,民中,六盘水,104.8475,26.5894
126,1831A,高压开关厂,平顶山,113.3064,33.7214
127,1399A,坑口子站,肇庆,112.565,23.1617
128,1977A,莱州环保局,莱州,119.941,37.177
129,2199A,盟监测站,兴安盟,122.062,46.0872
130,3440A,大绿谷,乌鲁木齐,87.4921,43.8411
131,2260A,环保局,七台河,131.0032,45.7677
132,2512A,市监测站,百色,106.6103,23.9011
133,1597A,大庆路,营口,122.2703,40.7094
134,1849A,开发区,岳阳,113.1772,29.3678
135,1469A,长安区,西安,108.906,34.1546
136,3458A,香泉濮院小区,邯郸,114.7895,36.5593
137,2710A,阳光学校,石河子,86.0697,44.3075
138,2004A,金坛市环境监测站,金坛,119.579,31.751
139,3656A,消防大队,杭州,120.1556,30.2864
140,1150A,浦东张江,上海,121.577,31.2071
141,1402A,北湖,南宁,108.316,22.8561
142,2476A,市环保局,郴州,113.0348,25.7759
143,3528A,同安二实小,厦门,118.1493,24.7245
144,1022A,梅江小区(停运150702),天津,117.221,39.06
145,2348A,中医院,萍乡,113.8381,27.6428
146,1600A,江湾东路,丹东,124.3303,40.0625
147,2674A,玛沁县大武镇,果洛州,100.2561,34.4714
148,1168A,南郊,南通,120.913,31.96
149,2926A,文昌北街,银川,106.1024,38.49494
150,1494A,三十一中学,乌鲁木齐,87.6432,43.831
151,1746A,天义路,赤峰,118.8789,42.2556
152,2546A,人工湖,广安,106.6406,30.4844
153,1366A,观澜,深圳,114.085,22.75
154,1618A,沂河小区,临沂,118.3418,35.0573
155,1692A,环境监控中心,梅州,116.1248,24.2654
156,1944A,公司二招,金昌,102.1708,38.5061
157,1238A,市政管理站,宁波,,
158,1816A,开发区管委会,洛阳,112.3844,34.6231
159,3173A,市人大,安庆,117.0594,30.5342
160,3425A,越秀幼儿园,苏州,120.624,31.1733
161,2245A,斯达机电,鹤岗,130.261,47.2753
